TÍTULO,CLAVE DE REGIÓN HIDROLÓGICA,NOMBRE DE REGIÓN HIDROLÓGICA,ESTADO,NOMBRE DE ESTADO,MUNICIPIO(S),CLAVE DE CUENCA HIDROLÓGICA,NOMBRE DE CUENCA HIDROLÓGICA,VOLUMEN ANUAL EN m3 ,FUENTE,AFLUENTE,NÚMERO DE ANEXO
08AGS400101/12ATGC99,12,LERMA-SANTIAGO,1,AGUASCALIENTES,"PABELLÓN DE ARTEGA, RINCON DE ROMOS Y TEPETZALA",189,RÍO SAN PEDRO,43296000.00,PRESA DE ALMACENAMIENTO PLUTARCO ELÍAS CALLES,"RÍOS AGUASCALIENTES, SANTIAGO Y PABELLÓN",1
01BCA401413/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,67349000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401404/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,85337000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401405/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,82862000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401412/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,85235000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401418/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,70005000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401401/07ATGC00,7,RÍO COLORADO,26,SONORA,SAN LUIS RIO COLORADO,85,RÍO COLORADO,84763000.00,PRESA DERIVADORA MORELOS,RÍO COLORADO,1
01BCA401402/07ATGC00,7,RÍO COLORADO,26,SONORA,SAN LUIS RIO COLORADO,85,RÍO COLORADO,43717000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401403/07ATGC00,7,RÍO COLORADO,26,SONORA,SAN LUIS RIO COLORADO,85,RÍO COLORADO,75436000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401406/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,52952000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401407/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,61978000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401422/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,44323000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401414/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,77223000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401419/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,75660000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401415/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,87917000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401416/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,58222000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401408/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,75908000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401417/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,81261000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401421/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,59101000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401410/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,117460000.00,PRESA DERIVADORA MORELOS,RÍO COLORADO,1
01BCA401420/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,46523000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401423/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,59081000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401424/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,59586000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
01BCA401411/07ATGC00,7,RÍO COLORADO,2,BAJA CALIFORNIA,MEXICALI,85,RÍO COLORADO,83312000.00,PRESA DERIVADORA MORELOS,RIO COLORADO,1
07COA401719/36ATDA12,36,NAZAS-AGUANAVAL,5,COAHUILA DE ZARAGOZA,"SIMON BOLIVAR Y LERDO EN DURANGO, Y TORREON,COAHUILA  DE ZARAGOZA",748,NAZARENO,18063000.00,DERIVACIONES DIRECTAS DEL RIO AGUANAVAL,RIO AGUANAVAL,1
07COA401720/36ATDA12,36,NAZAS-AGUANAVAL,5,COAHUILA DE ZARAGOZA,MATAMOROS Y VIESCA,748,NAZARENO,17024000.00,DERIVACIONES DIRECTAS DEL RIO AGUANAVAL,RIO AGUANAVAL,1
