NÚMERO DE ANEXO,ID SUPERFICIE,VOLUMEN ANUAL,FECHA
20,0,89812.0,2022-05-22
55,0,70000.0,2022-05-22
56,0,80000.0,2022-05-22
61,0,450.0,2022-05-22
317,0,180144.0,2022-05-22
410,0,120096.0,2022-05-22
421,0,80179.0,2022-05-22
422,0,18000000.0,2022-05-22
654,0,420.0,2022-05-22
979,0,80000.0,2022-05-22
1236,0,150000.0,2022-05-22
1274,0,150000.0,2022-05-22
1412,0,533.0,2022-05-22
1477,0,852.0,2022-05-22
1491,0,609.0,2022-05-22
1519,0,1217.0,2022-05-22
1520,0,1460.0,2022-05-22
1521,0,677232000.0,2022-05-22
1566,0,4564.0,2022-05-22
1612,0,685.0,2022-05-22
1613,0,1800000.0,2022-05-22
1631,0,18800.0,2022-05-22
1774,0,33680.0,2022-05-22
1787,0,1460.0,2022-05-22
1791,0,1368.75,2022-05-22
1802,0,9600.0,2022-05-22
2038,0,9600.0,2022-05-22
2039,0,730.0,2022-05-22
2040,0,1800.0,2022-05-22
2041,0,1800.0,2022-05-22
2042,0,1825.0,2022-05-22
2043,0,1792000.0,2022-05-22
2044,0,4032500.0,2022-05-22
2045,0,4525500.0,2022-05-22
2046,0,4819000.0,2022-05-22
2047,0,4828500.0,2022-05-22
2336,0,4032500.0,2022-05-22
2337,0,4819000.0,2022-05-22
2338,0,1237500.0,2022-05-22
2339,0,450000.0,2022-05-22
2340,0,300000.0,2022-05-22
2341,0,1300000.0,2022-05-22
2342,0,28000.0,2022-05-22
2343,0,2550.0,2022-05-22
2344,0,160000.0,2022-05-22
2345,0,16000.0,2022-05-22
2346,0,17000.0,2022-05-22
2347,0,14000.0,2022-05-22
2348,0,120000.0,2022-05-22
2349,0,800100000.0,2022-05-22
2350,0,1600000.0,2022-05-22
2351,0,48000000.0,2022-05-22
2352,0,350000.0,2022-05-22
2353,0,1566000.0,2022-05-22
2354,0,12000000.0,2022-05-22
2355,0,11890.0,2022-05-22
2356,0,100000.0,2022-05-22
2357,0,608864.0,2022-05-22
2358,0,1190.7,2022-05-22
2359,0,511056.0,2022-05-22
2360,0,92226.0,2022-05-22
2361,0,7300.0,2022-05-22
2362,0,207000.0,2022-05-22
2363,0,90000.0,2022-05-22
2364,0,168000.0,2022-05-22
2365,0,205550.0,2022-05-22
2366,0,9245000.0,2022-05-22
2367,0,475000.0,2022-05-22
2368,0,48000.0,2022-05-22
2369,0,175450.0,2022-05-22
2370,0,1056300.0,2022-05-22
2371,0,4161761000.0,2022-05-22
2372,0,2456135000.0,2022-05-22
2373,0,2956800.0,2022-05-22
2374,0,4415040.0,2022-05-22
2375,0,40000.0,2022-05-22
2376,0,6250.0,2022-05-22
2377,0,450000.0,2022-05-22
2378,0,200000.0,2022-05-22
2379,0,400000.0,2022-05-22
2380,0,500000.0,2022-05-22
2381,0,14000000.0,2022-05-22
2382,0,4307629.0,2022-05-22
4361,0,1279873000.0,2022-05-22
4362,0,18000000.0,2022-05-22
4363,0,960565000.0,2022-05-22
4407,0,1857882000.0,2022-05-22
4408,0,4386000.0,2022-05-22
4409,0,996000.0,2022-05-22
4410,0,300000.0,2022-05-22
4411,0,684000.0,2022-05-22
4412,0,3468416.0,2022-05-22
4413,0,12000.0,2022-05-22
4414,0,1829.0,2022-05-22
4506,1,80640.0,2022-05-22
4507,1,68000.0,2022-05-22
4508,1,910.0,2022-05-22
4509,1,910.0,2022-05-22
4510,1,910.0,2022-05-22
4511,1,381.0,2022-05-22
48,1,1278.0,2022-05-22
62,1,1825.0,2022-05-22
121,1,913.0,2022-05-22
122,1,1278.0,2022-05-22
123,1,395.0,2022-05-22
137,1,10403.0,2022-05-22
139,1,4198.0,2022-05-22
140,1,2099.0,2022-05-22
141,1,5840.0,2022-05-22
163,1,852.0,2022-05-22
164,1,3726.0,2022-05-22
178,1,3042.0,2022-05-22
285,1,4563.0,2022-05-22
302,1,1597.0,2022-05-22
452,1,2449.0,2022-05-22
453,1,328.5,2022-05-22
752,1,3600.0,2022-05-22
781,1,2250.0,2022-05-22
1043,1,6000.0,2022-05-22
1069,1,2400.0,2022-05-22
1070,1,2700.0,2022-05-22
1071,1,5000.0,2022-05-22
1072,1,821.15,2022-05-22
1073,1,1095.0,2022-05-22
1074,1,547.5,2022-05-22
1075,1,547.5,2022-05-22
1259,1,912.5,2022-05-22
1353,1,1003.75,2022-05-22
1434,1,821.0,2022-05-22
1439,1,730.0,2022-05-22
1468,1,821.25,2022-05-22
1469,1,912.5,2022-05-22
1483,1,730.0,2022-05-22
1484,1,912.5,2022-05-22
1512,1,1825.0,2022-05-22
1516,1,2737.0,2022-05-22
1518,1,2053.0,2022-05-22
1527,1,1369.0,2022-05-22
1528,1,1369.0,2022-05-22
1546,1,1369.0,2022-05-22
1617,1,1369.0,2022-05-22
1670,1,1369.0,2022-05-22
1671,1,1369.0,2022-05-22
1675,1,1369.0,2022-05-22
1676,1,1369.0,2022-05-22
1677,1,1369.0,2022-05-22
1678,1,1369.0,2022-05-22
1687,1,2980.0,2022-05-22
1719,1,1825.0,2022-05-22
1731,1,4684.0,2022-05-22
1732,1,2980.0,2022-05-22
1734,1,798.0,2022-05-22
1737,1,1597.0,2022-05-22
1745,1,1597.0,2022-05-22
1762,1,1369.0,2022-05-22
1770,1,1369.0,2022-05-22
1784,1,1369.0,2022-05-22
1789,1,1597.0,2022-05-22
1790,1,121.0,2022-05-22
1793,1,486.66,2022-05-22
1794,1,304.0,2022-05-22
1796,1,152.0,2022-05-22
1797,1,364.0,2022-05-22
1798,1,912.5,2022-05-22
1799,1,95018.75,2022-05-22
1800,1,3650.0,2022-05-22
1801,1,8212.0,2022-05-22
1805,1,1825.0,2022-05-22
1808,1,15000.0,2022-05-22
1809,1,20000.0,2022-05-22
1810,1,25000.0,2022-05-22
1811,1,20000.0,2022-05-22
1812,1,350000.0,2022-05-22
1816,1,5219.8,2022-05-22
1820,1,400000.0,2022-05-22
1821,1,120000.0,2022-05-22
1823,1,60000.0,2022-05-22
1824,1,500000.0,2022-05-22
1825,1,300000.0,2022-05-22
1827,1,560000.0,2022-05-22
1829,1,13000.0,2022-05-22
1830,1,1687.0,2022-05-22
1831,1,1600.0,2022-05-22
1832,1,1200.0,2022-05-22
1833,1,1600.0,2022-05-22
1834,1,12000.0,2022-05-22
1835,1,5200.0,2022-05-22
1836,1,8500.0,2022-05-22
1837,1,360000.0,2022-05-22
1838,1,2125.0,2022-05-22
1839,1,1700.0,2022-05-22
1840,1,600.0,2022-05-22
1841,1,30000.0,2022-05-22
1842,1,108864.0,2022-05-22
1843,1,164026.0,2022-05-22
1844,1,210000.0,2022-05-22
1845,1,14583.0,2022-05-22
1846,1,14583.0,2022-05-22
1847,1,14583.0,2022-05-22
1848,1,14583.0,2022-05-22
41,1,1278.0,2022-05-22
60,1,12000.0,2022-05-22
115,1,45000.0,2022-05-22
162,1,20000.0,2022-05-22
175,1,250000.0,2022-05-22
184,1,10248.0,2022-05-22
185,1,377483.0,2022-05-22
188,1,9800.0,2022-05-22
268,1,19800.0,2022-05-22
291,1,44000.0,2022-05-22
347,1,8176.0,2022-05-22
431,1,5413.0,2022-05-22
438,1,3033.0,2022-05-22
440,1,4250.0,2022-05-22
487,1,987.0,2022-05-22
580,1,933.0,2022-05-22
633,1,22800.0,2022-05-22
703,1,32670.0,2022-05-22
791,1,18133.0,2022-05-22
824,1,46920.0,2022-05-22
1265,1,9184.0,2022-05-22
1376,1,11100.0,2022-05-22
