,TÍTULO,NÚMERO DE ANEXO,LONGITUD,LATITUD,TIPO
20,811136,0,-102.43083358333334,-102.43083358333334,SUPERFICIAL
55,812457,1,-102.37472272222222,-102.37472272222222,SUPERFICIAL
56,812509,2,-102.73416683333333,-102.73416683333333,SUPERFICIAL
61,812808,3,-102.70527811111111,-102.70527811111111,SUPERFICIAL
317,817135,4,-102.36750033333333,-102.36750033333333,SUPERFICIAL
410,819113,5,-102.44166700000001,-102.44166700000001,SUPERFICIAL
421,819309,6,-102.37222269444443,-102.37222269444443,SUPERFICIAL
422,819310,7,-102.26111127777777,-102.26111127777777,SUPERFICIAL
654,824572,8,-102.33055588888888,-102.33055588888888,SUPERFICIAL
979,830265,9,-102.72944494444445,-102.72944494444445,SUPERFICIAL
1236,834119,10,-102.3402781111111,-102.3402781111111,SUPERFICIAL
1274,835787,11,-102.36691677777777,-102.36691677777777,SUPERFICIAL
1412,837839,12,-102.44166722222222,-102.44166722222222,SUPERFICIAL
1477,838519,13,-102.36020308333333,-102.36020308333333,SUPERFICIAL
1491,839011,14,-102.67416680555556,-102.67416680555556,SUPERFICIAL
1519,839629,15,-102.62583366666667,-102.62583366666667,SUPERFICIAL
1520,839629,16,-102.65638902777778,-102.65638902777778,SUPERFICIAL
1521,839629,17,-102.67194475000001,-102.67194475000001,SUPERFICIAL
1566,840746,18,-102.1269446111111,-102.1269446111111,SUPERFICIAL
1612,841321,19,-102.70750030555556,-102.70750030555556,SUPERFICIAL
1613,841322,20,-102.70466680555556,-102.70466680555556,SUPERFICIAL
1631,841608,21,-102.36691677777777,-102.36691677777777,SUPERFICIAL
1774,843100,22,-102.00111261111111,-102.00111261111111,SUPERFICIAL
1787,843386,23,-102.69194461111111,-102.69194461111111,SUPERFICIAL
1791,843599,24,-102.30833505555556,-102.30833505555556,SUPERFICIAL
1802,843697,25,-102.40694444444445,-102.40694444444445,SUPERFICIAL
2038,08AGS100253,26,-102.37222255555555,-102.37222255555555,SUPERFICIAL
2039,08AGS102400,27,-102.30472483333332,-102.30472483333332,SUPERFICIAL
2040,08AGS102710,28,-102.406667,-102.406667,SUPERFICIAL
2041,08AGS105229,29,-102.37250802777777,-102.37250802777777,SUPERFICIAL
2042,08AGS105409,30,-102.69361144444444,-102.69361144444444,SUPERFICIAL
2043,08AGS105443,31,-102.34861161111111,-102.34861161111111,SUPERFICIAL
2044,08AGS105545,32,-102.33250016666666,-102.33250016666666,SUPERFICIAL
2045,08AGS105838,33,-102.25527775,-102.25527775,SUPERFICIAL
2046,08AGS106715,34,-101.87305588888889,-101.87305588888889,SUPERFICIAL
2047,08AGS106732,35,-102.37916733333333,-102.37916733333333,SUPERFICIAL
