NÚMERO DE ANEXO,TÍTULO,VOLUMEN DE DESCARGA ANUAL EN M3,VOLUMEN DE DESCARGA DIARIO EN M3,FECHA
0,810056,13140.0,0.0,2022-05-22
1,810072,13140.0,0.0,2022-05-22
2,810079,540.0,0.0,2022-05-22
3,810091,52638.7,0.0,2022-05-22
4,810093,73000.03,0.0,2022-05-22
5,810145,58.4,0.0,2022-05-22
6,810145,375.6,0.0,2022-05-22
7,810145,9515.2,0.0,2022-05-22
8,810145,9264.8,0.0,2022-05-22
9,810147,7300.0,0.0,2022-05-22
10,810154,36000.0,0.0,2022-05-22
11,810218,10000.0,0.0,2022-05-22
12,810218,2000.0,0.0,2022-05-22
13,810218,12000.0,0.0,2022-05-22
14,810224,473040.0,0.0,2022-05-22
15,810231,473040.0,0.0,2022-05-22
16,810233,63145.0,0.0,2022-05-22
17,810235,157680.0,0.0,2022-05-22
18,810238,14965.0,0.0,2022-05-22
19,810324,377775.17,0.0,2022-05-22
20,810324,377775.17,0.0,2022-05-22
21,810324,143992.56,0.0,2022-05-22
22,810327,146000.0,0.0,2022-05-22
23,810409,4204.8,0.0,2022-05-22
24,810565,125000.0,0.0,2022-05-22
25,810576,164000.0,0.0,2022-05-22
26,810675,315360.0,0.0,2022-05-22
27,810700,208415.0,0.0,2022-05-22
28,810899,4715.0,0.0,2022-05-22
29,810901,31536.0,0.0,2022-05-22
30,810913,22089.8,0.0,2022-05-22
31,810913,3858.05,0.0,2022-05-22
32,811057,9211.05,0.0,2022-05-22
33,811057,9211.05,0.0,2022-05-22
34,811064,616844.1,0.0,2022-05-22
35,811271,648000.0,0.0,2022-05-22
36,811294,1200.0,0.0,2022-05-22
37,811309,1277.5,0.0,2022-05-22
38,811622,70080.0,0.0,2022-05-22
39,811632,39420.0,0.0,2022-05-22
40,811690,12000.0,0.0,2022-05-22
41,811699,74737.2,0.0,2022-05-22
42,811740,105485.0,0.0,2022-05-22
43,811812,36500.0,0.0,2022-05-22
44,811812,36500.0,0.0,2022-05-22
45,811815,162.0,0.0,2022-05-22
46,811858,2000.0,0.0,2022-05-22
47,811861,985.5,0.0,2022-05-22
48,811861,1022.0,0.0,2022-05-22
49,811866,32923.0,0.0,2022-05-22
