NÚMERO DE ANEXO,TÍTULO,VOLUMEN DE DESCARGA ANUAL EN M3,VOLUMEN DE DESCARGA DIARIO EN M3,FECHA
0,810079,540.0,0.0,2022-05-22
1,816216,42300.0,0.0,2022-05-22
2,816216,4700.0,0.0,2022-05-22
3,827870,14965.0,0.0,2022-05-22
4,827991,316601.0,0.0,2022-05-22
5,829997,1261440.0,0.0,2022-05-22
6,830486,42287.67,0.0,2022-05-22
7,830486,20712.33,0.0,2022-05-22
8,831684,23005.0,0.0,2022-05-22
9,831684,13860.0,0.0,2022-05-22
10,831862,547.5,0.0,2022-05-22
11,831894,1825.0,0.0,2022-05-22
12,832155,365000.0,0.0,2022-05-22
13,832157,730.0,0.0,2022-05-22
14,832159,85597.0,0.0,2022-05-22
15,832161,6000.0,0.0,2022-05-22
16,832316,378.0,0.0,2022-05-22
17,833524,347005.0,0.0,2022-05-22
18,833526,30200.0,0.0,2022-05-22
19,833527,730.0,0.0,2022-05-22
20,833822,109500.0,0.0,2022-05-22
21,833978,31536.0,0.0,2022-05-22
22,833978,252288.0,0.0,2022-05-22
23,833978,31536.0,0.0,2022-05-22
24,833996,14685.0,0.0,2022-05-22
25,834028,112830.0,0.0,2022-05-22
26,834032,22593.0,0.0,2022-05-22
27,834254,5621.0,0.0,2022-05-22
28,834254,5621.0,0.0,2022-05-22
29,834259,473040.0,0.0,2022-05-22
30,834259,220752.0,0.0,2022-05-22
31,834262,157680.0,0.0,2022-05-22
32,834262,157680.0,0.0,2022-05-22
33,834262,946080.0,0.0,2022-05-22
34,834483,15680.0,0.0,2022-05-22
35,834483,67264.0,0.0,2022-05-22
36,834488,112000.0,0.0,2022-05-22
37,834488,95360.0,0.0,2022-05-22
38,835520,26599.9,0.0,2022-05-22
39,835522,367606.0,0.0,2022-05-22
40,835522,40845.0,0.0,2022-05-22
41,835782,9855.0,0.0,2022-05-22
42,835783,788400.0,0.0,2022-05-22
43,835784,40000.0,0.0,2022-05-22
44,835959,100.0,0.0,2022-05-22
45,836300,200000.0,0.0,2022-05-22
46,836756,14600.0,0.0,2022-05-22
47,836756,32850.0,0.0,2022-05-22
48,836758,28754.0,0.0,2022-05-22
49,836758,7194.0,0.0,2022-05-22
50,836907,61540.0,0.0,2022-05-22
51,836907,10500.0,0.0,2022-05-22
52,837248,2190.0,0.0,2022-05-22
53,837250,24185.0,0.0,2022-05-22
54,837250,24090.0,0.0,2022-05-22
55,837250,23725.0,0.0,2022-05-22
56,837389,121400.0,0.0,2022-05-22
57,837583,4274.2,0.0,2022-05-22
58,837847,2920.0,0.0,2022-05-22
59,838047,66500.0,0.0,2022-05-22
60,838051,365.0,0.0,2022-05-22
61,838240,378432.0,0.0,2022-05-22
62,838240,94608.0,0.0,2022-05-22
63,838472,69210.0,0.0,2022-05-22
64,838472,17302.0,0.0,2022-05-22
65,839007,157680.0,0.0,2022-05-22
66,839007,157680.0,0.0,2022-05-22
67,08AGS105547,10950.0,0.0,2022-05-22
68,08AGS105547,10950.0,0.0,2022-05-22
69,08AGS105547,10950.0,0.0,2022-05-22
70,08AGS106496,3650.0,0.0,2022-05-22
71,AGS104935,135000.0,0.0,2022-05-22
72,AGS105146,6587.0,0.0,2022-05-22
73,AGS106932,3153600.0,0.0,2022-05-22
74,3AGS101860/12EMGE95,0.0,250.0,2022-05-22
75,3AGS102372/12IMGE96,35942.0,110.0,2022-05-22
76,3AGS101474/12ERGE95,125.0,0.4,2022-05-22
77,3AGS101475/12FMGE95,0.0,3.0,2022-05-22
78,3AGS101604/12ERGE95,456.25,1.25,2022-05-22
79,3AGS101598/12FMGE95,0.0,873.0,2022-05-22
80,3AGS102026/12IMGE95,0.0,130.0,2022-05-22
81,3AGS101866/12EMGE95,0.0,142.02,2022-05-22
82,3AGS101868/12EQGE95,0.0,0.08,2022-05-22
83,3AGS101866/12EMGE95,0.0,79.83,2022-05-22
84,3AGS100751/12FMGE94,0.0,108.0,2022-05-22
85,3AGS101079/12FMGE95,0.0,3.4,2022-05-22
