TÍTULO,USO QUE AMPARA EL TÍTULO,TITULAR,FECHA DE REGISTRO,AUTORIDAD QUE EMITE EL ACTO
810052,DIFERENTES USOS,"VICTOR DE SANTOS GARCIA, MA. ELENA GONZALEZ ROMO, JUAN DE SANTOS GARCIA, ALMA DELIA GARCIA DELGADO",2019-08-06,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810055,AGR͍COLA,"ANTONIO MARTIN GOMEZ, MARIA GUADALUPE GOMEZ GOMEZ",2020-05-29,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810060,DIFERENTES USOS,ANTONIO FAJARDO MEDINA,2019-06-28,DIRECCIÓN LOCAL SAN LUIS POTOSÍ
810064,AGR͍COLA,NOE MONTES GANDARILLA,2020-08-31,DIRECCIÓN LOCAL DURANGO
810065,DIFERENTES USOS,LUCIA TARCILA CHAVEZ PEÑA,2020-09-10,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810073,AGR͍COLA,MARIA LUISA BORGEZ ALPUCHE,2020-11-02,ORGANISMO DE CUENCA PENÍNSULA DE YUCATÁN
810074,SERVICIOS,JULIO CESAR RODRIGUEZ SALCEDO,2019-04-22,ORGANISMO DE CUENCA GOLFO CENTRO
810076,AGR͍COLA,MA. JESUS PEÑA GUTIERREZ,2020-03-06,DIRECCIÓN LOCAL MICHOACÁN
810080,INDUSTRIAL,SAUL VAZQUEZ CASTRO,2020-04-27,DIRECCIÓN LOCAL TABASCO
810083,AGR͍COLA,"FRANCISCO JAVIER MAY COLLI, HERMENEGILDA ESTHER MAY COLLI",2020-08-04,DIRECCIÓN LOCAL CAMPECHE
810088,INDUSTRIAL,FTE MEXICANA SA DE CV,2021-03-17,DIRECCIÓN LOCAL PUEBLA
810095,AGR͍COLA,EDGAR ROGELIO AVALOS MARTINEZ,2020-01-28,DIRECCIÓN LOCAL MICHOACÁN
810096,AGR͍COLA,JOSE ISMAEL ROSALES VARELA,2020-02-24,DIRECCIÓN LOCAL CAMPECHE
810097,DIFERENTES USOS,MARIANO VERA MARTINEZ,2020-06-18,DIRECCIÓN LOCAL CAMPECHE
810101,DIFERENTES USOS,J. JESUS LIMON DURON,2019-06-21,DIRECCIÓN LOCAL ZACATECAS
810102,INDUSTRIAL,EDMUNDO AGUSTINO DIMAS LOVERA,2021-06-07,DIRECCIÓN LOCAL CAMPECHE
810104,PÚBLICO URBANO,MUNICIPIO DE TECAMACHALCO,2019-12-30,DIRECCIÓN LOCAL PUEBLA
810112,AGR͍COLA,JESUS RAMON ZAMORA FLORES,2019-06-20,DIRECCIÓN LOCAL ZACATECAS
810115,AGR͍COLA,FRANZ GUENTHER,2020-08-04,DIRECCIÓN LOCAL CAMPECHE
810116,AGR͍COLA,SERGIO GONZALEZ ANGUIANO,2019-06-21,DIRECCIÓN LOCAL ZACATECAS
810118,AGR͍COLA,HECTOR GUERRERO FRANCO,2020-11-10,DIRECCIÓN LOCAL ZACATECAS
810119,AGR͍COLA,MARIO IVAN MORENO RODRIGUEZ,2020-07-31,DIRECCIÓN LOCAL CAMPECHE
810120,AGR͍COLA,"EL PORVENIR DE LOS LANDEROS, S.C. DE R.L. DE C.V.",2020-04-03,DIRECCIÓN LOCAL CAMPECHE
810121,AGR͍COLA,MARGARITO DAMIAN FELIX,2020-05-12,DIRECCIÓN LOCAL CAMPECHE
810122,AGR͍COLA,"POZO CALDERA, ASOCIACION CIVIL",2019-12-20,DIRECCIÓN LOCAL AGUASCALIENTES
810125,AGR͍COLA,ISRAEL SOSA FLORES,2021-09-17,ORGANISMO DE CUENCA GOLFO CENTRO
810128,ACUACULTURA,ACUICOLA EL CARACOLITO S.C. DE R.L. DE C.V.,2020-04-14,DIRECCIÓN LOCAL TABASCO
810134,AGR͍COLA,ANTONIO MUÑOZ RODRIGUEZ,2019-04-23,ORGANISMO DE CUENCA GOLFO CENTRO
810136,AGR͍COLA,ROMEO CRUZ MANZUR,2019-04-23,ORGANISMO DE CUENCA FRONTERA SUR
810137,SERVICIOS,GUADALUPE DIAZ SOLANO,2019-12-13,ORGANISMO DE CUENCA FRONTERA SUR
810140,AGR͍COLA,NAHUM MARTINEZ ROSAS,2021-09-03,ORGANISMO DE CUENCA GOLFO CENTRO
810144,AGR͍COLA,MARIANO HERRERA ROJAS,2021-08-31,ORGANISMO DE CUENCA GOLFO CENTRO
810145,SERVICIOS,"INMUEBLES SAIJOS, S.C.",2020-07-29,DIRECCIÓN LOCAL CAMPECHE
810146,AGR͍COLA,CRISANTO RODRIGUEZ CALLES,2021-09-20,ORGANISMO DE CUENCA GOLFO CENTRO
810151,DOMÉSTICO,REBECA QUINTANILLA RODRIGUEZ,2019-04-23,ORGANISMO DE CUENCA RÍO BRAVO
810152,AGR͍COLA,MIGUEL ANGEL APARICIO RODRIGUEZ,2021-09-01,ORGANISMO DE CUENCA GOLFO CENTRO
810153,SERVICIOS,OSCAR ENRIQUE CALLEJA BELLO,2020-08-19,ORGANISMO DE CUENCA BALSAS
810155,SERVICIOS,SOCORRO PRADO MONTES,2021-04-15,ORGANISMO DE CUENCA GOLFO CENTRO
810156,AGR͍COLA,SILVIA EMILIA MARIA GUADALUPE VAN HOORDE BARRAGAN,2019-07-22,DIRECCIÓN LOCAL MICHOACÁN
810164,AGR͍COLA,JUAN ROJAS TORRES,2019-07-08,DIRECCIÓN LOCAL SAN LUIS POTOSÍ
810166,PÚBLICO URBANO,MUNICIPIO DE JANTETELCO,2020-12-01,ORGANISMO DE CUENCA BALSAS
810167,PÚBLICO URBANO,SISTEMA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE CAMPECHE,2020-06-17,DIRECCIÓN LOCAL CAMPECHE
