CLAVE DE REGIÓN HIDROLÓGICA,CLAVE DE CUENCA HIDROLÓGICA
12,186
16,259
12,189
24,436
12,208
31,695
30,627
24,435
24,437
25,468
37,757
12,193
30,642
12,207
12,206
26,508
26,556
12,182
29,606
32,698
36,740
3,46
31,693
10,124
10,121
24,434
30,687
12,176
33,703
10,130
10,117
10,141
11,160
20,341
12,175
20,340
18,275
27,570
28,581
11,169
28,576
28,577
12,177
12,221
16,263
26,513
28,582
18,284
12,191
30,689
24,430
24,426
19,290
23,382
24,429
18,271
7,85
1,6
22,372
13,233
16,262
12,199
24,440
24,431
26,506
12,173
14,239
26,558
26,553
12,170
26,493
28,588
10,138
14,242
26,489
28,587
28,590
28,591
10,142
29,607
26,492
11,167
30,682
30,652
26,525
27,568
26,524
23,401
23,399
6,72
23,398
28,589
3,36
30,662
23,395
30,681
30,618
30,651
30,633
21,363
26,560
20,343
26,499
26,551
26,559
27,569
33,700
12,184
26,555
28,575
12,226
20,342
20,328
26,562
29,602
12,222
18,270
23,393
23,400
30,679
30,628
18,273
30,625
31,696
27,571
12,194
12,180
23,397
1,1
12,185
30,665
30,614
24,411
30,626
37,756
26,552
21,356
23,381
12,209
1,2
15,252
23,396
1,4
12,196
26,498
26,494
6,76
3,44
26,495
26,503
26,502
12,174
15,253
37,755
30,645
30,646
30,648
10,128
26,520
30,659
23,402
30,657
30,649
12,190
26,500
18,274
9,105
12,204
9,101
30,683
18,283
16,260
30,641
26,497
29,600
26,517
18,281
18,278
9,109
29,598
32,699
18,280
12,188
22,367
28,592
13,228
12,179
12,183
27,572
10,116
19,312
6,71
14,234
15,249
26,521
10,134
13,231
0,10003
1,3
19,297
19,303
19,286
18,277
25,467
12,181
11,168
18,276
26,507
37,750
28,586
12,220
19,310
26,550
30,666
24,427
27,573
28,583
12,198
14,236
26,501
27,574
26,557
20,337
24,413
6,77
6,74
18,279
26,539
27,564
33,705
1,5
1,8
1,12
2,30
5,68
9,106
30,653
30,655
23,384
30,624
23,403
30,630
30,615
23,391
19,285
26,490
26,526
26,496
15,251
12,227
12,200
15,245
12,201
13,232
25,443
25,471
24,433
22,364
28,585
33,701
26,491
37,751
26,509
26,518
26,505
30,661
26,538
25,463
28,443
12,0
14,241
0,0
25,474
29,593
37,754
1,0
7,0
5,0
4,0
