CLAVE DE CUENCA HIDROLÓGICA,NOMBRE DE CUENCA HIDROLÓGICA
0,SIN DATO
1,TIJUANA
2,DESCANSO-LOS MÉDANOS
3,GUADALUPE
4,ENSENADA-EL GALLO
5,SAN CARLOS
6,MANEADERO-LAS ÁNIMAS
7,SANTO TOMÁS
8,SAN VICENTE
9,LOS COCHIS-EL SALADO
10,SAN RAFAEL
11,SAN TELMO
12,SANTO DOMINGO
13,SAN QUINTÍN
14,SAN SIMÓN
15,EL SOCORRO
16,EL ROSARIO
17,SANTA CATARINA
18,LA BOCANA
19,JARAGUAY
20,SAN JOSÉ
21,CHAPALA
22,BOCA DEL CARRIZO
23,SAN ANDRÉS
25,ROSARITO
26,SAN MIGUEL
27,PARAÍSO
28,SAN LUIS
29,EL ARCO
30,VIZCAÍNO
31,PUNTA EUGENIA
32,SAN IGNACIO
33,LA PURÍSIMA
34,MEZQUITAL SECO
35,SANTO DOMINGO
36,BRAMONAS
37,SANTA RITA
38,LAS POCITAS-SAN HILARIO
39,CONEJOS-LOS VIEJOS
40,MELITÓN ALBAÑEZ
41,LA MATANZA
42,CAÑADA HONDA
43,TODOS SANTOS
44,PESCADEROS
45,PLUTARCO E. CALLES
46,MIGRIÑO
47,EL CARRIZAL
48,CERRADA LAGUNA SALADA
49,EL BORREGO
50,CERRADA SANTA CLARA
52,HUATAMOTE
53,SAN FERMÍN
55,AGUA GRANDE
56,LA PALMA
58,ASAMBLEA
59,TEPETATE
60,SAN PEDRO
61,EL ALAMBRADO
63,MULEGÉ
64,SAN MARCOS-PALO VERDE
65,SAN BRUNO
67,SANTA AGUEDA
68,SANTA ROSALÍA
69,LAS VÍRGENES
70,PARALELO 28
71,SAN LUCAS
72,SAN JOSÉ DEL CABO
73,CABO PULMO
74,SANTIAGO
75,SAN BARTOLO
76,LOS PLANES
77,LA PAZ
78,EL COYOTE
79,ALFREDO B. BONFIL
80,TEPENTÚ
81,LORETO
82,SAN JUAN B. LONDÓ
83,ROSARITO
84,BAHÍA CONCEPCIÓN
85,RÍO COLORADO
86,RÍO SANTA CRUZ
87,RÍO SAN PEDRO
88,ARROYO LOS NOGALES
89,RÍO SONOYTA 1
90,RÍO SONOYTA 2
91,ARROYO COCÓSPERA
92,RÍO MAGDALENA
93,RÍO CONCEPCIÓN
94,VALLE DE SAN LUIS
95,LOS VIDRIOS 1
97,ARIVAIPA-PUERTO LIBERTAD
98,RÍO SONORA 1
99,RÍO SAN MIGUEL
100,RÍO SONORA 2
101,RÍO SONORA 3
102,RÍO BAVISPE
103,RÍO YAQUI 1
104,RÍO YAQUI 2
105,RÍO YAQUI 3
106,RÍO MAYO 1
107,ARROYO QUIRIEGO
108,RÍO MAYO 2
109,RÍO MAYO 3
110,RÍO MÁTAPE 1
111,RÍO MÁTAPE 2
