NÚMERO DE ANEXO,TIPO DE DESCARGA,CUERPO RECEPTOR,PROCEDENCIA,AFLUENTE AL QUE SE DESCARGA,CLAVE DE MUNICIPIO,ESTADO,CLAVE DE CUENCA HIDROLÓGICA,FORMA DE DESCARGAR,LONGITUD,LATITUD
0,SIN DATO,SUELO,SIN DATO,SIN DATO,7,1,189,SIN DATO,-102.30766694444443,102.30766694444443
1,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.3283336111111,102.3283336111111
2,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.328,102.328
3,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,194,SIN DATO,-102.29297222222222,102.29297222222222
4,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,194,SIN DATO,-102.34238916666666,102.34238916666666
5,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.28433361111111,102.28433361111111
6,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.35762805555555,102.35762805555555
7,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.35427805555555,102.35427805555555
8,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.3407225,102.3407225
9,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.34296972222222,102.34296972222222
10,SIN DATO,SUELO,SIN DATO,SIN DATO,6,1,189,SIN DATO,-102.28344472222221,102.28344472222221
11,SIN DATO,SUELO,SIN DATO,SIN DATO,5,1,191,SIN DATO,-102.26750027777777,102.26750027777777
12,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.2987225,102.2987225
13,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,196,SIN DATO,-102.3273336111111,102.3273336111111
14,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.3181725,102.3181725
15,SIN DATO,SUELO,SIN DATO,SIN DATO,2,1,191,SIN DATO,-101.98950055555555,101.98950055555555
16,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.3547225,102.3547225
17,SIN DATO,SUELO,SIN DATO,SIN DATO,10,1,196,SIN DATO,-101.979945,101.979945
18,SIN DATO,SUELO,SIN DATO,SIN DATO,5,1,191,SIN DATO,-102.31722805555555,102.31722805555555
19,SIN DATO,SUELO,SIN DATO,SIN DATO,2,1,755,SIN DATO,-102.06388916666667,102.06388916666667
20,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,196,SIN DATO,-102.27933361111111,102.27933361111111
21,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.19901722222222,102.19901722222222
22,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.19908361111112,102.19908361111112
23,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.19880583333334,102.19880583333334
24,SIN DATO,SUELO,SIN DATO,SIN DATO,2,1,191,SIN DATO,-102.08150027777778,102.08150027777778
25,SIN DATO,SUELO,SIN DATO,SIN DATO,8,1,190,SIN DATO,-102.48007,102.48007
26,SIN DATO,SUELO,SIN DATO,SIN DATO,10,1,196,SIN DATO,-102.07886166666667,102.07886166666667
27,SIN DATO,SUELO,SIN DATO,SIN DATO,4,1,189,SIN DATO,-102.29050027777778,102.29050027777778
28,SIN DATO,SUELO,SIN DATO,SIN DATO,4,1,189,SIN DATO,-102.29044472222222,102.29044472222222
29,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.27648111111111,102.27648111111111
30,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.2765561111111,102.2765561111111
31,SIN DATO,EMBALSES NATURALES Y ARTIFICIALES,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.24811166666667,102.24811166666667
32,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.24726138888889,102.24726138888889
33,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.24836444444445,102.24836444444445
34,SIN DATO,SUELO,SIN DATO,SIN DATO,3,1,204,SIN DATO,-102.77897277777778,102.77897277777778
