CLAVE DE REGIÓN HIDROLÓGICA,NOMBRE DE REGIÓN HIDROLÓGICA
0,SIN DATO
1,BAJA CALIFORNIA NOROESTE
2,BAJA CALIFORNIA CENTRO-OESTE
3,BAJA CALIFORNIA SUROESTE
4,BAJA CALIFORNIA NORESTE
5,BAJA CALIFORNIA CENTRO-ESTE
6,BAJA CALIFORNIA SURESTE
7,RÍO COLORADO
8,SONORA NORTE
9,SONORA SUR
10,SINALOA
11,PRESIDIO-SAN PEDRO
12,LERMA-SANTIAGO
13,RÍO HUICICILA
14,RÍO AMECA
15,COSTA DE JALISCO
16,ARMERÍA-COAHUAYANA
16,ARMERIA-COAHUAYANA
17,COSTA DE MICHOACÁN
18,BALSAS
19,COSTA GRANDE DE GUERRERO
20,COSTA CHICA DE GUERRERO
21,COSTA DE OAXACA
22,TEHUANTEPEC
23,COSTA DE CHIAPAS
24,BRAVO-CONCHOS
25,SAN FERNANDO-SOTO LA MARINA
26,PÁNUCO
27,NORTE DE VERACRUZ (RÍOS TUXPAN-NAUTLA)
28,PAPALOAPAN
29,COATZACOALCOS
30,GRIJALVA-USUMACINTA
31,YUCATÁN OESTE
32,YUCATÁN NORTE
33,YUCATÁN ESTE
34,CUENCAS CERRADAS DEL NORTE
35,MAPIMÍ
36,NAZAS-AGUANAVAL
37,EL SALADO
