,FUENTE DE ABASTECIMIENTO,AFLUENTE
0,ARROYO,SIN DATO
1,RIO,SIN DATO
2,PRESA,SIN DATO
3,EMISOR,SIN DATO
4,MANANTIAL,SIN DATO
5,LAGUNA,SIN DATO
6,CANAL,SIN DATO
7,BORDO,SIN DATO
8,HUMEDAL,SIN DATO
9,DREN,SIN DATO
10,SIN DATO,SIN DATO
11,BARRANCA,SIN DATO
12,LAGO,SIN DATO
13,27- jaguey,SIN DATO
14,21 - arroyo,SIN DATO
15,25- rio,SIN DATO
16,23 -manantial,SIN DATO
17,21- arroyo,SIN DATO
18,20 - rio,SIN DATO
19,17 - embalse artificial,SIN DATO
20,25 -río,SIN DATO
21,20 - río,SIN DATO
22,27 - jaguey,SIN DATO
23,23 - manantial,SIN DATO
24,24 - presa,SIN DATO
25,32 - embalse artficial,SIN DATO
26,32 - embalse artificial,SIN DATO
27,0 -,SIN DATO
28,RAMAL,SIN DATO
29,0 - innominado,SIN DATO
30,MAR,SIN DATO
31,0 - río,SIN DATO
32,25 - río,SIN DATO
33,0 - afluente directo,SIN DATO
34,0 - cauce priincipal,SIN DATO
35,22 - bordo,SIN DATO
36,32 - embalse attificial,SIN DATO
37,20- rio,SIN DATO
38,ARROYO EL CHAVEÑO O JESUS MARIA,SIN DATO
39,ARROYO INNOMINADO,SIN DATO
40,ARROYO CERRO COLORADO O PAJARITOS,SIN DATO
41,ARROYO EL PINO,SIN DATO
42,ARROYO LA CAÑADA,SIN DATO
43,ARROYO LA YERBA,SIN DATO
44,ARROYO EL TAPADERO,SIN DATO
45,ARROYO LOS MAGUEICITOS,SIN DATO
46,MANANTIAL LAS ATARGEAS,SIN DATO
47,RIO LA LABOR,SIN DATO
48,ARROYO LAS CABRAS,SIN DATO
49,ARRROYO CALDERA,SIN DATO
50,ARROYO LOS HUENCHOS O COYOTILLOS,SIN DATO
51,RIO SAN PEDRO,SIN DATO
52,"ARROYO LAS CABRAS (MANSAS, SUBALVEAS Y BRONCA",SIN DATO
53,RIO SAN PEDRO (MANSAS Y BRONCAS),SIN DATO
54,RIO CALVILLO,SIN DATO
55,ARROYO LOS CERRITOS,SIN DATO
56,ARROYO JOCONOXTLE,SIN DATO
57,ARROYO EL SALTILLO,SIN DATO
58,RIO LA ALABOR  (AGUAS MANSAS Y SUBALVEAS),SIN DATO
59,ARROYO EL CHIVO,SIN DATO
60,ARROYO LAS TRANQUITAS,SIN DATO
61,ARROYO LAS PASILLAS,SIN DATO
62,RIO SAN PEDRO (PRESA EL NIAGARA),SIN DATO
63,ARROYO CERRO BLANCO,SIN DATO
64,ARROYO PUENTE DE FIERRO,SIN DATO
65,ARROYO LOS TEPETATES,SIN DATO
66,ARROYO LOS GARABULLAS (MANSAS Y BRONCAS),SIN DATO
67,ARROYO BOCA DEL COYOTE,SIN DATO
68,ARROYO LAS TORTUGAS,SIN DATO
69,ARROYO JUAN GRANDE (AGUAS MANSAS Y BRONCAS),SIN DATO
70,ARROYO LA MANGA,SIN DATO
71,ARROYO DE SANTOS,SIN DATO
72,ARROYO LOS CALICHES,SIN DATO
73,ARROYO LOS LIRIOS,SIN DATO
74,ARROYO SAN FRANCISCO,SIN DATO
75,ARROYO BARRANCA DEL MECO,SIN DATO
76,ARROYO LA CIENEGUITA,SIN DATO
77,ARROYO CUARTO BLANCO O PAPANTON,SIN DATO
78,ARROYO LA MORILLA,SIN DATO
79,ARROYO MONTORO,SIN DATO
80,ARROYOLA BOLSA O LOS LIRIOS,SIN DATO
81,"ARROYO PEÑA BLANCA, MEDIANTE PRESA PEÑA BLANC",SIN DATO
