TÍTULO,NÚMERO DE ANEXO,SUPERFICIE EN m2,CORRIENTE O VASO,CLAVE DE MUNICIPIO,ESTADO,CLAVE DE CUENCA HIDROLÓGICA,LONIGTUD,LATITUD
810053,0,5742.07,ARROYO,1,1,191,-102.32874755555555,102.32874755555555
810054,1,161.33,ARROYO,1,1,191,-102.19908336111112,102.19908336111112
810063,2,20.65,RIO,1,1,191,-102.28411144444445,102.28411144444445
810068,3,1920.25,RIO,1,1,191,-102.32233922222221,102.32233922222221
810907,4,3204.16,RIO,1,1,194,-102.3745003611111,102.3745003611111
810907,5,973.1,RIO,1,1,194,-102.37541716666667,102.37541716666667
810931,6,18610.68,RIO,1,1,194,-102.39856144444445,102.39856144444445
810931,7,5439.44,RIO,1,1,194,-102.39693366666667,102.39693366666667
810968,8,480.72,EMBALSES NATURALES Y ARTIFICIALES,1,1,191,-102.23156427777778,102.23156427777778
810969,9,20.95,RIO,1,1,191,-102.33570313888889,102.33570313888889
810970,10,266.19,RIO,3,1,204,-102.72183641666666,102.72183641666666
810970,11,261.32,RIO,3,1,204,-102.72169477777778,102.72169477777778
810980,12,20.43,EMBALSES NATURALES Y ARTIFICIALES,1,1,191,-102.20892811111112,102.20892811111112
810981,13,2502.52,EMBALSES NATURALES Y ARTIFICIALES,2,1,755,-102.11422488888888,102.11422488888888
811024,14,2242.66,RIO,1,1,194,-102.35729477777777,102.35729477777777
811024,15,1948.66,RIO,1,1,194,-102.3569505,102.3569505
811024,16,2583.0,RIO,1,1,194,-102.35845049999999,102.35845049999999
811024,17,10260.55,RIO,1,1,194,-102.36260033333333,102.36260033333333
811024,18,868.76,RIO,1,1,194,-102.37298105555556,102.37298105555556
811685,19,1121.09,EMBALSES NATURALES Y ARTIFICIALES,1,1,191,-102.25708383333334,102.25708383333334
811860,20,211.36,ARROYO,1,1,196,-102.17283072222223,102.17283072222223
811885,21,83.41,ARROYO,1,1,196,-102.16937811111112,102.16937811111112
811891,22,145.63,ARROYO,1,1,196,-102.17386144444446,102.17386144444446
811905,23,146.39,EMBALSES NATURALES Y ARTIFICIALES,1,1,196,-102.17547255555556,102.17547255555556
811910,24,147.79,EMBALSES NATURALES Y ARTIFICIALES,1,1,196,-102.17132533333334,102.17132533333334
811919,25,346.75,ARROYO,1,1,196,-102.16809216666667,102.16809216666667
811919,26,72.44,ARROYO,1,1,196,-102.1689086388889,102.1689086388889
811949,27,230.16,EMBALSES NATURALES Y ARTIFICIALES,1,1,196,-102.17088366666667,102.17088366666667
811958,28,295.18,ARROYO,1,1,196,-102.17557272222223,102.17557272222223
811980,29,172.94,ARROYO,1,1,196,-102.17420016666667,102.17420016666667
814799,30,31.83,ARROYO,1,1,196,-102.18263661111112,102.18263661111112
814799,31,33.44,ARROYO,1,1,196,-102.17957827777778,102.17957827777778
814799,32,19.0,ARROYO,1,1,196,-102.17208938888889,102.17208938888889
814799,33,28.88,ARROYO,1,1,196,-102.17202272222222,102.17202272222222
814799,34,45.1,ARROYO,1,1,196,-102.16806161111111,102.16806161111111
814799,35,29.79,ARROYO,1,1,196,-102.17089200000001,102.17089200000001
814799,36,49.59,ARROYO,1,1,196,-102.16886161111111,102.16886161111111
814799,37,31.34,ARROYO,1,1,196,-102.16850588888889,102.16850588888889
814799,38,27.21,ARROYO,1,1,196,-102.16998383333333,102.16998383333333
814871,39,225.53,ARROYO,10,1,194,-102.10723366666666,102.10723366666666
814952,40,44.88,ARROYO,10,1,194,-102.10642911111111,102.10642911111111
814981,41,159.02,ARROYO,10,1,194,-102.09493322222222,102.09493322222222
814990,42,79.98,ARROYO,10,1,194,-102.09069477777777,102.09069477777777
815002,43,72.7,ARROYO,10,1,194,-102.10246244444444,102.10246244444444
815017,44,71.96,ARROYO,10,1,194,-102.10347844444443,102.10347844444443
815020,45,134.67,ARROYO,10,1,194,-102.09291144444444,102.09291144444444
815029,46,14.28,ARROYO,10,1,194,-102.09154183333332,102.09154183333332
815091,47,1132.09,ARROYO,1,1,191,-102.32838922222221,102.32838922222221
815995,48,604.36,ARROYO,1,1,196,-102.18028636111111,102.18028636111111
816412,49,1840.5,ARROYO,2,1,755,-102.11911699999999,102.11911699999999
816482,50,458.7,ARROYO,10,1,191,-102.15953363888889,102.15953363888889
816639,51,535.19,ARROYO,7,1,189,-102.26704477777778,102.26704477777778
817083,52,28.47,ARROYO,1,1,191,-102.27740855555555,102.27740855555555
817129,53,795.09,RIO,1,1,194,-102.37058105555555,102.37058105555555
817139,54,3517.45,ARROYO,1,1,191,-102.33253905555556,102.33253905555556
817166,55,13.78,ARROYO,1,1,191,-102.23450016666666,102.23450016666666
818047,56,90.98,ARROYO,6,1,189,-102.31443908333333,102.31443908333333
818159,57,155.69,ARROYO,10,1,194,-102.1031558611111,102.1031558611111
818340,58,495.23,ARROYO,1,1,196,-102.18485197222222,102.18485197222222
818355,59,306.7,ARROYO,1,1,196,-102.20640133333333,102.20640133333333
818358,60,217.19,ARROYO,1,1,196,-102.19967766666667,102.19967766666667
818361,61,304.53,ARROYO,1,1,196,-102.21744494444445,102.21744494444445
818372,62,304.76,ARROYO,1,1,196,-102.23099233333333,102.23099233333333
818377,63,439.26,ARROYO,1,1,196,-102.26752077777778,102.26752077777778
818379,64,258.75,ARROYO,1,1,196,-102.26073466666666,102.26073466666666
818596,65,799.82,PRESA,8,1,190,-102.48287516666667,102.48287516666667
818596,66,150.82,ARROYO,8,1,190,-102.48195588888889,102.48195588888889
818705,67,686.32,RIO,4,1,189,-102.28319822222223,102.28319822222223
818809,68,212.55,ARROYO,1,1,196,-102.17709216666667,102.17709216666667
818809,69,103.72,ARROYO,1,1,196,-102.17775866666668,102.17775866666668
819032,70,259.06,ARROYO,6,1,189,-102.32123044444444,102.32123044444444
819033,71,144.64,ARROYO,6,1,189,-102.31858877777778,102.31858877777778
819060,72,107.77,ARROYO,6,1,189,-102.31170127777777,102.31170127777777
819070,73,241.21,ARROYO,6,1,189,-102.31365863888888,102.31365863888888
825561,74,58.43,ARROYO,1,1,191,-102.31127938888889,102.31127938888889
825564,75,3.56,RIO,5,1,191,-102.32739049999999,102.32739049999999
825568,76,603.0,ARROYO,2,1,189,-102.12433499999999,102.12433499999999
825656,77,25.0,ARROYO,1,1,191,-102.33694455555555,102.33694455555555
826030,78,69.28,RIO,1,1,191,-102.31780294444444,102.31780294444444
826177,79,27803.15,PRESA,3,1,204,-102.76671716666667,102.76671716666667
828367,80,8584.26,ARROYO,1,1,191,-102.33658922222222,102.33658922222222
828367,81,8044.36,ARROYO,1,1,191,-102.33687794444444,102.33687794444444
830265,82,2570.0,ARROYO,3,1,204,-102.7294723888889,102.7294723888889
837538,83,1281.37,RIO,1,1,194,-102.3993643888889,102.3993643888889
840676,84,841.91,RIO,6,1,189,-102.29886994444445,102.29886994444445
842355,85,401493.59,PRESA,2,1,191,-101.95052255555557,101.95052255555557
843126,86,4125.59,RIO,3,1,204,-102.72295741666667,102.72295741666667
843126,87,4161.51,RIO,3,1,204,-102.72262644444444,102.72262644444444
08AGS106355,88,45000.0,RIO,1,1,194,-102.37524738888888,102.37524738888888
AGS100031,89,550.0,ARROYO,3,1,204,-102.72111119444445,102.72111119444445
AGS100034,90,150.0,RIO,1,1,194,-102.3628058611111,102.3628058611111
AGS100034,91,150.0,RIO,1,1,194,-102.36447238888888,102.36447238888888
AGS100034,92,150.0,RIO,1,1,194,-102.36836130555555,102.36836130555555
AGS105377,93,1560.0,RIO,6,1,189,-102.35278119444443,102.35278119444443
AGS105488,94,1850.0,ARROYO,3,1,10,-102.71861111111112,102.71861111111112
AGS105630,95,1200.0,ARROYO,1,1,194,-102.40250033333334,102.40250033333334
AGS105720,96,48867.0,RIO,1,1,191,-102.32166683333332,102.32166683333332
AGS105754,97,156.0,RIO,7,1,189,-102.34416702777777,102.34416702777777
AGS105995,98,1137.0,RIO,6,1,189,-102.3494461111111,102.3494461111111
AGS106002,99,25015.0,RIO,1,1,194,-102.40416705555556,102.40416705555556
811717,100,25.0,RIO,1,2,10,-116.27861016666667,116.27861016666667
812834,101,57400.0,ARROYO,1,2,3,-116.28059791666666,116.28059791666666
813395,102,432.17,CANAL,2,2,85,-115.40472386111112,115.40472386111112
814324,103,300.0,ARROYO,1,2,11,-116.18084327777778,116.18084327777778
817355,104,2.0,CANAL,2,2,85,-115.20923333333333,115.20923333333333
817540,105,25.0,ARROYO,1,2,10,-116.24794594444444,116.24794594444444
818824,106,25.0,ARROYO,1,2,14,-115.82227847222222,115.82227847222222
821076,107,25.0,ARROYO,1,2,8,-116.22552866666666,116.22552866666666
821222,108,3581.8,CANAL,2,2,85,-115.33333552777778,115.33333552777778
821852,109,1414.06,CANAL,2,2,85,-115.40059133333334,115.40059133333334
821852,110,590.35,CANAL,2,2,85,-115.400591,115.400591
822685,111,36.0,ARROYO,1,2,13,-115.8583335,115.8583335
822900,112,280.0,CANAL,2,2,85,-115.39463905555556,115.39463905555556
827591,113,25.0,ARROYO,4,2,1,-116.60661133333333,116.60661133333333
831557,114,25000.0,CANAL,2,2,85,-115.19725566666666,115.19725566666666
831568,115,35.11,CANAL,2,2,85,-115.01128222222222,115.01128222222222
831886,116,13920.0,CANAL,2,2,85,-115.46570625,115.46570625
831886,117,20523.6,CANAL,2,2,85,-115.47106147222222,115.47106147222222
831947,118,25.0,ARROYO,1,2,8,-116.36339224999999,116.36339224999999
833167,119,94734.24,RIO,4,2,1,-116.90566433333333,116.90566433333333
833799,120,30427.72,CANAL,2,2,85,-115.38022249999999,115.38022249999999
836696,121,638.39,CANAL,2,2,85,-115.38953072222223,115.38953072222223
836987,122,4844.37,ARROYO,4,2,1,-117.08511119444444,117.08511119444444
837480,123,25.0,ARROYO,1,2,8,-116.25180655555556,116.25180655555556
840203,124,69.3,ARROYO,1,2,4,-116.59078358333333,116.59078358333333
840283,125,40000.0,ARROYO,1,2,12,-116.03285530555556,116.03285530555556
840933,126,1420.0,CANAL,2,2,85,-115.54388938888889,115.54388938888889
841314,127,400.0,RIO,1,2,3,-116.77197238888888,116.77197238888888
841314,128,270.0,RIO,1,2,3,-116.77252825,116.77252825
841457,129,0.2,ARROYO,5,2,2,-117.05213080555555,117.05213080555555
